FLUX,BUY,LIMIT,IOC,5739,0.1895000,None,FILLED,8,5739,1750713727423,1087.5405
SEI,BUY,LIMIT,IOC,205,0.2355000,None,FILLED,205,205,1750713736477,48.277499999999996
FUN,SELL,LIMIT,IOC,15226,0.0099050,None,FILLED,14030,15226,1750713737179,150.81353000000001
FUN,SELL,LIMIT,IOC,124243,0.0099020,None,FILLED,25461,124243,1750713738304,1230.254186
SEI,BUY,LIMIT,IOC,551,0.2356000,None,FILLED,551,551,1750713740309,129.8156
AKT,BUY,LIMIT,IOC,2449.3,1.0860000,None,FILLED,184.2,2449.3,1750713772453,2659.9398000000006
FUN,SELL,LIMIT,IOC,199999,0.0098880,None,FILLED,28933,199999,1750713780154,1977.5901119999999
FIDA,BUY,LIMIT,IOC,1724,0.0608700,None,FILLED,1187,1724,1750713800145,104.93988
SOL,BUY,LIMIT,IOC,7.14,142.1400,None,FILLED,7.14,7.14,1750713810135,1014.8795999999999
SOL,BUY,LIMIT,IOC,0.05,142.1800,None,FILLED,0.05,0.05,1750713812228,7.109000000000001
SOL,BUY,LIMIT,IOC,6.61,142.1900,None,FILLED,6.61,6.61,1750713815131,939.8759
PLUME,BUY,LIMIT,IOC,20000,0.0898000,None,FILLED,129,20000,1750713817330,1796.0
SOL,BUY,LIMIT,IOC,95.73,142.2000,None,FILLED,28.25,95.73,1750713818242,13612.805999999999
FUN,SELL,LIMIT,IOC,9622,0.0098700,None,FILLED,9622,9622,1750713851645,94.96914
FUN,SELL,LIMIT,IOC,9935,0.0098630,None,FILLED,8735,9935,1750713856281,97.988905
SPK,SELL,LIMIT,IOC,14107,0.0485400,None,FILLED,2239,14107,1750713861113,684.75378
1000PEPE,BUY,LIMIT,IOC,2103669,0.0096224,None,FILLED,303699,2103669,1750713865135,20242.3445856
TRUMP,BUY,LIMIT,IOC,12.79,9.110000,None,FILLED,12.79,12.79,1750713872348,116.51689999999998
XTZ,BUY,LIMIT,IOC,915.0,0.527,None,FILLED,915.0,915.0,1750713874621,482.20500000000004
SUPER,BUY,LIMIT,IOC,27,0.5618000,None,FILLED,27,27,1750713899351,15.1686
SPK,SELL,LIMIT,IOC,919,0.0484800,None,FILLED,919,919,1750713900471,44.55312
1000PEPE,BUY,LIMIT,IOC,40596,0.0096281,None,FILLED,40596,40596,1750713902221,390.8623476
KAVA,BUY,LIMIT,IOC,2327.7,0.4311,None,FILLED,398.2,2327.7,1750713906230,1003.4714699999998
TON,BUY,LIMIT,IOC,43.6,2.9065000,None,FILLED,43.6,43.6,1750713911368,126.7234
FUN,SELL,LIMIT,IOC,17544,0.0098120,None,FILLED,13891,17544,1750713956064,172.141728
MOODENG,SELL,LIMIT,IOC,5284,0.1439800,None,FILLED,886,5284,1750713965284,760.79032
BANANAS31,SELL,LIMIT,IOC,167410,0.0088220,None,FILLED,3099,167410,1750713966481,1476.89102
LQTY,BUY,LIMIT,IOC,43.9,1.391300,None,FILLED,36.3,43.9,1750713970314,61.07807
1000SATS,SELL,LIMIT,IOC,2526475,0.0000362,None,FILLED,2526475,2526475,1750713976513,91.458395
FARTCOIN,SELL,LIMIT,IOC,2407.6,0.9801000,None,FILLED,779.2,2407.6,1750713978349,2359.68876
ORDI,SELL,LIMIT,IOC,20.9,7.051000,None,FILLED,20.9,20.9,1750713982070,147.36589999999998
MYX,SELL,LIMIT,IOC,798,0.0855700,None,FILLED,798,798,1750713983506,68.28486
LQTY,SELL,LIMIT,IOC,97.6,1.342000,None,FILLED,97.6,97.6,1750714010538,130.9792
LQTY,SELL,LIMIT,IOC,933.2,1.341600,None,FILLED,520.1,933.2,1750714013105,1251.98112
LQTY,SELL,LIMIT,IOC,1522.6,1.341100,None,FILLED,194.4,1522.6,1750714015148,2041.9588599999997
FARTCOIN,SELL,LIMIT,IOC,8008.6,0.9782000,None,FILLED,1689.6,8008.6,1750714016261,7834.01252
ETH,SELL,LIMIT,IOC,34.215,2341.37,None,FILLED,10.634,34.215,1750714021594,80109.97455
ETH,SELL,LIMIT,IOC,0.079,2341.02,None,FILLED,0.079,0.079,1750714024205,184.94058
ETH,SELL,LIMIT,IOC,1.798,2340.73,None,FILLED,1.798,1.798,1750714029256,4208.6325400000005
ETH,SELL,LIMIT,IOC,0.032,2340.47,None,FILLED,0.032,0.032,1750714032884,74.89504
TRU,SELL,LIMIT,IOC,34125,0.0283200,None,FILLED,9460,34125,1750714033627,966.4200000000001
ETH,SELL,LIMIT,IOC,0.072,2339.16,None,FILLED,0.072,0.072,1750714034148,168.41951999999998
FARTCOIN,SELL,LIMIT,IOC,5.4,0.9798000,None,FILLED,5.4,5.4,1750714034297,5.290920000000001
ETHUSDC,SELL,LIMIT,IOC,0.455,2340.97,None,FILLED,0.455,0.455,1750714034313,1065.1413499999999
BABY,SELL,LIMIT,IOC,11273,0.0457300,None,FILLED,9357,11273,1750714034469,515.51429
SPK,SELL,LIMIT,IOC,42140,0.0485100,None,FILLED,7733,42140,1750714034508,2044.2114
IO,SELL,LIMIT,IOC,764.1,0.6779000,None,FILLED,14.7,764.1,1750714034651,517.98339
KAITO,SELL,LIMIT,IOC,41.8,1.347900,None,FILLED,14.6,41.8,1750714035144,56.34222
BTC,SELL,LIMIT,IOC,0.001,103484.00,None,FILLED,0.001,0.001,1750714035144,103.48400000000001
BR,BUY,LIMIT,IOC,104812,0.0486900,None,FILLED,3428,104812,1750714035182,5103.29628
MOODENG,SELL,LIMIT,IOC,4941,0.1436200,None,FILLED,1247,4941,1750714035347,709.6264199999999
SUI,SELL,LIMIT,IOC,44.6,2.675900,None,FILLED,2.5,44.6,1750714035465,119.34514
ETH,SELL,LIMIT,IOC,0.492,2338.45,None,FILLED,0.492,0.492,1750714035473,1150.5174
ETHUSDC,SELL,LIMIT,IOC,1.031,2339.01,None,FILLED,1.031,1.031,1750714035556,2411.51931
PNUTUSDC,SELL,LIMIT,IOC,177,0.2079600,None,FILLED,101,177,1750714036061,36.80892
ETH,SELL,LIMIT,IOC,0.127,2336.76,None,FILLED,0.109,0.127,1750714037130,296.76852
ETHUSDC,SELL,LIMIT,IOC,5.122,2338.38,None,FILLED,3.267,5.122,1750714037323,11977.18236
BR,BUY,LIMIT,IOC,12555,0.0489800,None,FILLED,12555,12555,1750714037368,614.9439
ID,SELL,LIMIT,IOC,44,0.1487600,None,FILLED,4,44,1750714037391,6.54544
BTC,SELL,LIMIT,IOC,0.071,103472.20,None,FILLED,0.071,0.071,1750714037403,7346.526199999999
XRP,SELL,LIMIT,IOC,915.1,2.0665,None,FILLED,175.1,915.1,1750714037520,1891.0541500000002
BTCUSDC,BUY,LIMIT,IOC,0.002,104236.0,None,FILLED,0.002,0.002,1750714037803,208.472
ETHUSDC,SELL,LIMIT,IOC,0.243,2337.95,None,FILLED,0.243,0.243,1750714038452,568.12185
ETH,SELL,LIMIT,IOC,0.055,2336.09,None,FILLED,0.055,0.055,1750714039047,128.48495
BR,BUY,LIMIT,IOC,16250,0.0491800,None,FILLED,16250,16250,1750714039064,799.1750000000001
MOODENG,SELL,LIMIT,IOC,5431,0.1434600,None,FILLED,805,5431,1750714039403,779.13126
BR,BUY,LIMIT,IOC,11267,0.0499300,None,FILLED,565,11267,1750714040120,562.56131
FUN,BUY,LIMIT,IOC,24584,0.0101100,None,FILLED,23439,24584,1750714040441,248.54423999999997
TURBO,SELL,LIMIT,IOC,152481,0.0033623,None,FILLED,9686,152481,1750714040600,512.6868663
BR,BUY,LIMIT,IOC,20934,0.0502400,None,FILLED,13540,20934,1750714042154,1051.72416
WLD,SELL,LIMIT,IOC,16,0.8684000,None,FILLED,16,16,1750714042192,13.8944
ALGO,SELL,LIMIT,IOC,575.2,0.1704,None,FILLED,252.8,575.2,1750714042301,98.01408
PENGU,SELL,LIMIT,IOC,31203,0.0089850,None,FILLED,28447,31203,1750714042596,280.358955
LQTY,SELL,LIMIT,IOC,93.5,1.338800,None,FILLED,79.8,93.5,1750714044042,125.1778
LDO,SELL,LIMIT,IOC,2274,0.683600,None,FILLED,248,2274,1750714044078,1554.5064
SEI,SELL,LIMIT,IOC,1660,0.2272000,None,FILLED,1339,1660,1750714044198,377.15200000000004
ETH,SELL,LIMIT,IOC,1.731,2335.61,None,FILLED,0.309,1.731,1750714047275,4042.9409100000003
JUP,SELL,LIMIT,IOC,53,0.3713000,None,FILLED,31,53,1750714047358,19.678900000000002
ETHFI,SELL,LIMIT,IOC,1500.0,0.9145000,None,FILLED,577.6,1500.0,1750714047403,1371.75
ETH,SELL,LIMIT,IOC,2.612,2335.43,None,FILLED,2.612,2.612,1750714048396,6100.14316
FARTCOIN,SELL,LIMIT,IOC,84.2,0.9778000,None,FILLED,84.2,84.2,1750714048489,82.33076
1000PEPE,SELL,LIMIT,IOC,9156,0.0094283,None,FILLED,9156,9156,1750714048824,86.32551480000001
ETHUSDC,SELL,LIMIT,IOC,0.186,2336.30,None,FILLED,0.149,0.186,1750714049400,434.5518
FARTCOIN,SELL,LIMIT,IOC,303.1,0.9760000,None,FILLED,303.1,303.1,1750714050071,295.8256
PNUT,SELL,LIMIT,IOC,1405,0.2073300,None,FILLED,1381,1405,1750714052192,291.29865
FARTCOIN,SELL,LIMIT,IOC,216.2,0.9755000,None,FILLED,216.2,216.2,1750714053254,210.9031
BTC,SELL,LIMIT,IOC,0.055,103357.20,None,FILLED,0.055,0.055,1750714056466,5684.646
BTC,SELL,LIMIT,IOC,0.026,103332.20,None,FILLED,0.026,0.026,1750714057541,2686.6371999999997
SEI,SELL,LIMIT,IOC,1780,0.2268000,None,FILLED,1780,1780,1750714057600,403.704
LQTY,SELL,LIMIT,IOC,13.1,1.338600,None,FILLED,13.1,13.1,1750714057643,17.53566
WLD,SELL,LIMIT,IOC,120,0.8677000,None,FILLED,120,120,1750714058401,104.12400000000001
F,SELL,LIMIT,IOC,1322,0.0085850,None,FILLED,50,1322,1750714060572,11.34937
BTC,SELL,LIMIT,IOC,1.500,103326.70,None,FILLED,0.162,1.500,1750714069271,154990.05
CRV,SELL,LIMIT,IOC,177.1,0.552,None,FILLED,177.1,177.1,1750714072125,97.7592
LA,SELL,LIMIT,IOC,533.8,0.545000,None,FILLED,533.8,533.8,1750714075537,290.921
LAYER,SELL,LIMIT,IOC,1393.7,0.723800,None,FILLED,282.0,1393.7,1750714077230,1008.7600600000001
BTC,SELL,LIMIT,IOC,0.211,103305.40,None,FILLED,0.211,0.211,1750714077356,21797.4394
ETH,SELL,LIMIT,IOC,1.491,2335.33,None,FILLED,1.491,1.491,1750714077356,3481.97703
1000SATS,SELL,LIMIT,IOC,1587845,0.0000360,None,FILLED,1587845,1587845,1750714077438,57.162420000000004
SXT,SELL,LIMIT,IOC,625,0.0703200,None,FILLED,625,625,1750714078461,43.949999999999996
SOL,SELL,LIMIT,IOC,0.45,139.9800,None,FILLED,0.45,0.45,1750714079269,62.991
BTC,SELL,LIMIT,IOC,0.001,103280.00,None,FILLED,0.001,0.001,1750714079454,103.28
BTCUSDC,SELL,LIMIT,IOC,0.043,103346.0,None,FILLED,0.043,0.043,1750714079523,4443.878
AEVO,SELL,LIMIT,IOC,47360.5,0.0764000,None,FILLED,47360.5,47360.5,1750714080135,3618.3421999999996
ETH,SELL,LIMIT,IOC,100.480,2334.29,None,FILLED,10.473,100.480,1750714090038,234549.4592
PROM,SELL,LIMIT,IOC,3.3,4.0760000,None,FILLED,3.3,3.3,1750714094466,13.450799999999997
MYX,SELL,LIMIT,IOC,11450,0.0852800,None,FILLED,1420,11450,1750714095105,976.4559999999999
PROM,SELL,LIMIT,IOC,17.3,4.0700000,None,FILLED,17.3,17.3,1750714101210,70.411
MYX,SELL,LIMIT,IOC,3877,0.0851500,None,FILLED,136,3877,1750714101333,330.12655
PROM,SELL,LIMIT,IOC,31.5,4.0640000,None,FILLED,31.5,31.5,1750714103204,128.016
BID,BUY,LIMIT,IOC,6160,0.1323400,None,FILLED,6160,6160,1750714104527,815.2144000000001
BR,BUY,LIMIT,IOC,2158,0.0504400,None,FILLED,2158,2158,1750714105580,108.84952
PROM,SELL,LIMIT,IOC,253.5,4.0600000,None,FILLED,6.3,253.5,1750714106295,1029.2099999999998
HIPPO,BUY,LIMIT,IOC,968834,0.0017890,None,FILLED,114213,968834,1750714108422,1733.244026
BR,BUY,LIMIT,IOC,27845,0.0506100,None,FILLED,8283,27845,1750714110386,1409.2354500000001
HIPPO,BUY,LIMIT,IOC,14723,0.0017970,None,FILLED,3183,14723,1750714111041,26.457231
SPK,SELL,LIMIT,IOC,205464,0.0482700,None,FILLED,7317,205464,1750714112082,9917.74728
ALT,SELL,LIMIT,IOC,43836,0.0277200,None,FILLED,35265,43836,1750714123082,1215.13392
BTC,SELL,LIMIT,IOC,0.009,103286.80,None,FILLED,0.009,0.009,1750714136580,929.5812
ETH,SELL,LIMIT,IOC,0.332,2334.30,None,FILLED,0.332,0.332,1750714136580,774.9876000000002
ETHUSDC,SELL,LIMIT,IOC,0.100,2335.21,None,FILLED,0.080,0.100,1750714137133,233.52100000000002
ETH,SELL,LIMIT,IOC,0.050,2333.14,None,FILLED,0.050,0.050,1750714139197,116.657
BTCUSDC,SELL,LIMIT,IOC,0.004,103328.4,None,FILLED,0.004,0.004,1750714140521,413.3136
BTC,SELL,LIMIT,IOC,0.003,103253.60,None,FILLED,0.003,0.003,1750714142058,309.7608
ETH,SELL,LIMIT,IOC,0.838,2332.78,None,FILLED,0.055,0.838,1750714142086,1954.8696400000001
VIRTUAL,SELL,LIMIT,IOC,111.5,1.5800000,None,FILLED,65.2,111.5,1750714142087,176.17000000000002
ARC,SELL,LIMIT,IOC,6765,0.0249800,None,FILLED,2052,6765,1750714142284,168.9897
ETH,SELL,LIMIT,IOC,0.050,2332.67,None,FILLED,0.050,0.050,1750714143413,116.63350000000001
BTC,SELL,LIMIT,IOC,0.005,103243.50,None,FILLED,0.005,0.005,1750714143464,516.2175
SOL,SELL,LIMIT,IOC,11.30,139.9000,None,FILLED,2.42,11.30,1750714161556,1580.8700000000001
FUN,BUY,LIMIT,IOC,450840,0.0102080,None,FILLED,13142,450840,1750714167083,4602.17472
BR,BUY,LIMIT,IOC,7278,0.0509400,None,FILLED,7278,7278,1750714169195,370.74132
FUN,BUY,LIMIT,IOC,6955,0.0101950,None,FILLED,6955,6955,1750714169253,70.90622499999999
BR,BUY,LIMIT,IOC,20691,0.0511600,None,FILLED,20691,20691,1750714171060,1058.5515599999999
BR,BUY,LIMIT,IOC,7266,0.0525700,None,FILLED,7106,7266,1750714172065,381.97362
BANANAS31,BUY,LIMIT,IOC,7885,0.0089720,None,FILLED,7885,7885,1750714172389,70.74422000000001
TUT,BUY,LIMIT,IOC,473,0.0458100,None,FILLED,473,473,1750714172389,21.668129999999998
DOLO,BUY,LIMIT,IOC,1405,0.0369920,None,FILLED,185,1405,1750714172389,51.97376
BR,BUY,LIMIT,IOC,743,0.0530600,None,FILLED,743,743,1750714174057,39.42358
SOL,BUY,LIMIT,IOC,4.25,141.2800,None,FILLED,4.25,4.25,1750714174289,600.44
1000000BOB,SELL,LIMIT,IOC,452,0.0375200,None,FILLED,452,452,1750714174476,16.959039999999998
FUN,BUY,LIMIT,IOC,67005,0.0102310,None,FILLED,3738,67005,1750714185179,685.5281550000001
SOPH,SELL,LIMIT,IOC,11368,0.0367090,None,FILLED,1360,11368,1750714200062,417.307912
FARTCOIN,SELL,LIMIT,IOC,537.1,0.9738000,None,FILLED,309.9,537.1,1750714204607,523.0279800000001
LQTY,BUY,LIMIT,IOC,22.0,1.386100,None,FILLED,22.0,22.0,1750714206398,30.494200000000003
WIF,SELL,LIMIT,IOC,1621.0,0.7589000,None,FILLED,1621.0,1621.0,1750714207260,1230.1769
CHILLGUY,SELL,LIMIT,IOC,24749,0.0471500,None,FILLED,251,24749,1750714207260,1166.91535
FUN,BUY,LIMIT,IOC,7816,0.0102460,None,FILLED,6625,7816,1750714208094,80.082736
BID,SELL,LIMIT,IOC,2245,0.1272700,None,FILLED,202,2245,1750714211344,285.72114999999997
FUN,BUY,LIMIT,IOC,123467,0.0102590,None,FILLED,5913,123467,1750714214158,1266.6479530000001
FARTCOIN,SELL,LIMIT,IOC,2368.7,0.9734000,None,FILLED,542.4,2368.7,1750714226545,2305.69258
BANANAS31,SELL,LIMIT,IOC,1688,0.0087630,None,FILLED,77,1688,1750714227524,14.791943999999999
DEXE,SELL,LIMIT,IOC,147.42,7.833000,None,FILLED,2.37,147.42,1750714229327,1154.7408599999999
HIPPO,SELL,LIMIT,IOC,41878,0.0017440,None,FILLED,2004,41878,1750714232527,73.03523200000001
FARTCOIN,SELL,LIMIT,IOC,83.6,0.9730000,None,FILLED,83.6,83.6,1750714236323,81.3428
FARTCOIN,SELL,LIMIT,IOC,423.3,0.9724000,None,FILLED,423.3,423.3,1750714242156,411.61692000000005
ETH,SELL,LIMIT,IOC,0.061,2332.04,None,FILLED,0.061,0.061,1750714242190,142.25444
GRIFFAIN,SELL,LIMIT,IOC,19521,0.0381900,None,FILLED,2296,19521,1750714254367,745.5069900000001
ETH,SELL,LIMIT,IOC,0.033,2331.72,None,FILLED,0.033,0.033,1750714256142,76.94676
ETH,SELL,LIMIT,IOC,0.500,2331.51,None,FILLED,0.500,0.500,1750714257273,1165.755
AERGO,BUY,LIMIT,IOC,38034,0.1337900,None,FILLED,2023,38034,1750714261215,5088.568859999999
JELLYJELLY,BUY,LIMIT,IOC,60000,0.0314500,None,FILLED,1078,60000,1750714261500,1887.0
IO,BUY,LIMIT,IOC,2000.0,0.6914000,None,FILLED,1562.1,2000.0,1750714261500,1382.8
AERGO,BUY,LIMIT,IOC,71,0.1343600,None,FILLED,71,71,1750714263054,9.53956
BR,BUY,LIMIT,IOC,374,0.0535700,None,FILLED,374,374,1750714276080,20.03518
AERGO,BUY,LIMIT,IOC,3167,0.1345000,None,FILLED,552,3167,1750714276360,425.9615
BR,BUY,LIMIT,IOC,21267,0.0537400,None,FILLED,21267,21267,1750714277227,1142.88858
BR,BUY,LIMIT,IOC,98719,0.0540700,None,FILLED,8165,98719,1750714278451,5337.73633
BR,BUY,LIMIT,IOC,5879,0.0545800,None,FILLED,1110,5879,1750714279526,320.87582
BR,BUY,LIMIT,IOC,482,0.0550600,None,FILLED,10,482,1750714281131,26.538919999999997
PROM,SELL,LIMIT,IOC,16.8,4.0430000,None,FILLED,8.1,16.8,1750714288329,67.92240000000001
BR,BUY,LIMIT,IOC,418,0.0552800,None,FILLED,418,418,1750714291152,23.10704
ETH,BUY,LIMIT,IOC,0.018,2353.11,None,FILLED,0.018,0.018,1750714291152,42.35598
ROSE,BUY,LIMIT,IOC,19656,0.02316,None,FILLED,19656,19656,1750714291323,455.23296
BR,BUY,LIMIT,IOC,32196,0.0555200,None,FILLED,2829,32196,1750714292151,1787.52192
BR,BUY,LIMIT,IOC,10466,0.0556600,None,FILLED,10257,10466,1750714294040,582.53756
SUI,BUY,LIMIT,IOC,249.9,2.733200,None,FILLED,249.9,249.9,1750714294151,683.02668
BR,BUY,LIMIT,IOC,11347,0.0561900,None,FILLED,186,11347,1750714296046,637.5879299999999
BR,BUY,LIMIT,IOC,4385,0.0568700,None,FILLED,269,4385,1750714303218,249.37494999999998
BR,BUY,LIMIT,IOC,419310,0.0575825,None,FILLED,1070,419310,1750714304920,24144.918075
BR,BUY,LIMIT,IOC,10475,0.0573100,None,FILLED,6849,10475,1750714306052,600.32225
MOVE,BUY,LIMIT,IOC,630,0.1624000,None,FILLED,244,630,1750714306395,102.312
BR,BUY,LIMIT,IOC,1208,0.0575100,None,FILLED,1208,1208,1750714308120,69.47208
MYX,BUY,LIMIT,IOC,66,0.0879100,None,FILLED,66,66,1750714308471,5.80206
BR,BUY,LIMIT,IOC,40000,0.0577600,None,FILLED,38,40000,1750714310212,2310.4
BR,BUY,LIMIT,IOC,14305,0.0582400,None,FILLED,14305,14305,1750714312221,833.1232
BR,BUY,LIMIT,IOC,96146,0.0584500,None,FILLED,2723,96146,1750714319185,5619.7337
BR,BUY,LIMIT,IOC,1513,0.0589200,None,FILLED,1513,1513,1750714320319,89.14596
OP,BUY,LIMIT,IOC,85.0,0.5339000,None,FILLED,85.0,85.0,1750714320567,45.3815
BR,BUY,LIMIT,IOC,75828,0.0590800,None,FILLED,847,75828,1750714325177,4479.91824
BID,BUY,LIMIT,IOC,602,0.1312900,None,FILLED,510,602,1750714325564,79.03658
FUN,BUY,LIMIT,IOC,2441,0.0102540,None,FILLED,2441,2441,1750714325564,25.030013999999998
SYRUP,SELL,LIMIT,IOC,600,0.4725900,None,FILLED,45,600,1750714326058,283.55400000000003
BR,BUY,LIMIT,IOC,169730,0.0595900,None,FILLED,5088,169730,1750714326477,10114.2107
FUN,BUY,LIMIT,IOC,1599,0.0102870,None,FILLED,176,1599,1750714327598,16.448912999999997
BR,BUY,LIMIT,IOC,83817,0.0596700,None,FILLED,12,83817,1750714328349,5001.36039
FUN,BUY,LIMIT,IOC,81826,0.0103070,None,FILLED,9035,81826,1750714330103,843.380582
FUN,BUY,LIMIT,IOC,506,0.0103110,None,FILLED,506,506,1750714334108,5.217366
SEI,BUY,LIMIT,IOC,1796,0.2323000,None,FILLED,1796,1796,1750714334182,417.2108
FUN,BUY,LIMIT,IOC,915,0.0103250,None,FILLED,915,915,1750714338065,9.447375000000001
MYX,BUY,LIMIT,IOC,2047,0.0882100,None,FILLED,2047,2047,1750714338095,180.56587
FUN,BUY,LIMIT,IOC,13866,0.0103280,None,FILLED,13866,13866,1750714340340,143.20804800000002
SYRUP,SELL,LIMIT,IOC,71,0.4716500,None,FILLED,70,71,1750714344242,33.48715
BR,BUY,LIMIT,IOC,14460,0.0606500,None,FILLED,8754,14460,1750714344259,876.999
TRX,SELL,LIMIT,IOC,5334,0.27139,None,FILLED,12,5334,1750714345110,1447.59426
TRUMP,BUY,LIMIT,IOC,222.59,9.052000,None,FILLED,206.31,222.59,1750714345110,2014.88468
BR,BUY,LIMIT,IOC,13012,0.0616800,None,FILLED,516,13012,1750714345268,802.58016
MYX,BUY,LIMIT,IOC,5490,0.0882900,None,FILLED,362,5490,1750714345268,484.71209999999996
1000000BOB,BUY,LIMIT,IOC,20320,0.0386200,None,FILLED,836,20320,1750714345268,784.7584
SPK,BUY,LIMIT,IOC,1751,0.0494400,None,FILLED,1751,1751,1750714345268,86.56944
SOL,BUY,LIMIT,IOC,9.00,141.5100,None,FILLED,9.00,9.00,1750714345324,1273.59
XRP,SELL,LIMIT,IOC,83.0,2.0702,None,FILLED,83.0,83.0,1750714345324,171.82659999999998
1000SHIB,SELL,LIMIT,IOC,14443,0.011208,None,FILLED,14443,14443,1750714345324,161.877144
HIVE,BUY,LIMIT,IOC,16,0.1993100,None,FILLED,16,16,1750714346157,3.18896
STO,BUY,LIMIT,IOC,9048,0.0716800,None,FILLED,319,9048,1750714346161,648.5606399999999
1000PEPE,BUY,LIMIT,IOC,12248,0.0095729,None,FILLED,12248,12248,1750714346227,117.2488792
BR,BUY,LIMIT,IOC,31390,0.0621200,None,FILLED,458,31390,1750714346278,1949.9468
HOME,BUY,LIMIT,IOC,2277,0.0206510,None,FILLED,2277,2277,1750714346284,47.022327
BR,BUY,LIMIT,IOC,323,0.0630500,None,FILLED,30,323,1750714347338,20.36515
FUN,BUY,LIMIT,IOC,912,0.0103520,None,FILLED,912,912,1750714350424,9.441024
BR,BUY,LIMIT,IOC,4910,0.0632700,None,FILLED,4910,4910,1750714351196,310.6557
FUN,BUY,LIMIT,IOC,23626,0.0103580,None,FILLED,14312,23626,1750714351439,244.71810799999997
WCT,SELL,LIMIT,IOC,290,0.3185000,None,FILLED,290,290,1750714351439,92.365
BANANAS31,BUY,LIMIT,IOC,18456,0.0089370,None,FILLED,16782,18456,1750714351439,164.941272
MYX,BUY,LIMIT,IOC,1367,0.0881200,None,FILLED,1367,1367,1750714351439,120.46004
SPK,SELL,LIMIT,IOC,4033,0.0485500,None,FILLED,3469,4033,1750714351439,195.80215
AIOT,SELL,LIMIT,IOC,591,0.1543000,None,FILLED,191,591,1750714351439,91.1913
UNIUSDC,SELL,LIMIT,IOC,162,6.6510,None,FILLED,105,162,1750714351542,1077.462
ATOM,SELL,LIMIT,IOC,623.61,3.982,None,FILLED,31.24,623.61,1750714351542,2483.21502
SOL,BUY,LIMIT,IOC,0.70,141.2400,None,FILLED,0.70,0.70,1750714352111,98.868
